condition,gradnorm_mean_mean,gradnorm_mean_std,gradnorm_mean_count,attn_entropy_rel_mean_mean,attn_entropy_rel_mean_std,attn_entropy_rel_mean_count,attn_max_weight_mean_mean,attn_max_weight_mean_std,attn_max_weight_mean_count,divergence_mean_sq_mean,divergence_mean_sq_std,divergence_mean_sq_count
C1_original,0.15173948148148148,0.24043260897556662,27,0.9753888518518518,0.00919304020066565,27,0.15882774074074074,0.012993234415804475,27,0.04068266666666667,0.037152137604926375,27
C2_empty,0.0744365925925926,0.10273029785663162,27,0.9753472592592592,0.009223078122057943,27,0.1587894074074074,0.012980274633396802,27,0.04000007407407407,0.040591433457666255,27
C3_shuffled,0.15484066666666668,0.3995434626220282,27,0.9753793333333334,0.00918055396351018,27,0.15879844444444444,0.013001847943608548,27,0.03538033333333333,0.03536834764414254,27
C4_crossdomain,0.07212492592592593,0.0818551405664186,27,0.9754048148148149,0.00927570019350414,27,0.15873885185185183,0.013205277953279197,27,0.03507422222222222,0.03165338632672211,27
C5_constant,0.15571196296296297,0.22747976789908514,27,0.9759079259259259,0.009001217528440365,27,0.15803996296296297,0.012897059335312664,27,0.044387888888888886,0.03519618110548724,27
C6_unimodal,0.07968722222222223,0.15322607378524397,27,0.9754430740740742,0.009183602104277258,27,0.15874162962962965,0.0130233738956839,27,0.03475211111111111,0.02361044427355978,27
C8_oracle,0.13309574074074074,0.1869234215590793,27,0.9760079259259259,0.008971341023700556,27,0.15796933333333332,0.012835063800746414,27,0.05760359259259259,0.08399421643379759,27
C9_zero_priors,0.2649368148148148,0.6729802829184544,27,0.9754125555555555,0.009183374594816333,27,0.15871737037037037,0.01300981205489546,27,0.02826714814814815,0.01768080797993581,27
