condition,DLinear,Informer,iTransformer
C1_original,12.754585671066135,15.064859812734303,13.564963404089212
C2_empty,13.052020527870843,15.269029286172655,14.084210946673045
C3_shuffled,12.755300191127592,15.082408697654804,13.55795050593507
C4_crossdomain,12.7553395965585,15.074640987785878,13.552885811931143
C5_constant,13.051721574152234,15.275689740975698,14.084999772737286
C6_unimodal,13.08591472323018,15.265919872042206,13.762075604724318
C7_null,,,
C8_oracle,12.75560113435818,15.086933713682273,13.565697286243516
C9_zero_priors,13.052173671450603,15.263220869004726,14.080271596347707
