condition,default
C1_original,8.552879142212785
C2_empty,8.554897212319904
C3_shuffled,8.553203240778574
C4_crossdomain,8.552372352202871
C5_constant,8.55548635314874
C6_unimodal,8.552879142212785
C7_null,
C8_oracle,8.554927944930064
C9_zero_priors,8.552879142212785
