model,backbone,condition,seed,domain,pred_len,success,mse,mae,wall_s,host
aurora,default,C3_shuffled,2021,Climate,8,True,0.8635804653167725,0.7478889226913452,7.607199001009576,ip-172-31-15-210
aurora,default,C3_shuffled,2021,Economy,8,True,0.034783635288476944,0.1502290964126587,7.669276672997512,ip-172-31-15-210
aurora,default,C3_shuffled,2021,SocialGood,12,True,0.9480085968971252,0.5838055610656738,8.830091586976778,ip-172-31-15-210
aurora,default,C3_shuffled,2021,SocialGood,6,True,0.7059220671653748,0.44428113102912903,8.947750816994812,ip-172-31-15-210
aurora,default,C3_shuffled,2021,Energy,36,True,0.2912150025367737,0.40724754333496094,10.397129382006824,ip-172-31-15-210
aurora,default,C3_shuffled,2021,Health,36,True,1.6891595125198364,0.9190295934677124,10.064750820980407,ip-172-31-15-210
aurora,default,C3_shuffled,2021,Agriculture,10,True,0.29947295784950256,0.36357149481773376,8.105275404988788,ip-172-31-15-210
aurora,default,C3_shuffled,2021,Climate,6,True,0.8564218282699585,0.7447147369384766,7.840373725979589,ip-172-31-15-210
aurora,default,C3_shuffled,2021,Economy,6,True,0.035665303468704224,0.15201272070407867,7.6028779610060155,ip-172-31-15-210
aurora,default,C3_shuffled,2021,Environment,192,True,0.27025213837623596,0.3755277693271637,61.58307914395118,ip-172-31-15-210
aurora,default,C3_shuffled,2021,Agriculture,8,True,0.2372366487979889,0.3291831314563751,7.764010361977853,ip-172-31-15-210
aurora,default,C3_shuffled,2021,Security,12,True,77.92684936523438,4.260688304901123,7.473327593004797,ip-172-31-15-210
aurora,default,C3_shuffled,2021,Security,8,True,70.98133850097656,4.034336090087891,7.392250517033972,ip-172-31-15-210
aurora,default,C3_shuffled,2021,Energy,24,True,0.223836749792099,0.3513363003730774,10.094701604975853,ip-172-31-15-210
aurora,default,C3_shuffled,2021,Climate,12,True,0.8743171691894531,0.7508205771446228,7.547023613995407,ip-172-31-15-210
aurora,default,C3_shuffled,2021,Climate,10,True,0.8659306764602661,0.7480821013450623,7.70177133398829,ip-172-31-15-210
aurora,default,C3_shuffled,2021,Traffic,12,True,0.16891609132289886,0.29502174258232117,8.2506940549938,ip-172-31-15-210
aurora,default,C3_shuffled,2021,Security,6,True,67.48306274414062,3.881666421890259,7.228062973998021,ip-172-31-15-210
aurora,default,C3_shuffled,2021,Environment,48,True,0.2802949845790863,0.37973690032958984,45.689226102957036,ip-172-31-15-210
aurora,default,C3_shuffled,2021,Economy,10,True,0.032541606575250626,0.14508138597011566,7.98767456196947,ip-172-31-15-210
aurora,default,C3_shuffled,2021,Energy,48,True,0.3829212486743927,0.47211456298828125,9.8396265800111,ip-172-31-15-210
aurora,default,C3_shuffled,2021,Traffic,6,True,0.1540203094482422,0.28454649448394775,7.977600458019879,ip-172-31-15-210
aurora,default,C3_shuffled,2021,Security,10,True,74.29889678955078,4.1402177810668945,7.256643762986641,ip-172-31-15-210
aurora,default,C3_shuffled,2021,Agriculture,6,True,0.18358375132083893,0.29468294978141785,7.736417593026999,ip-172-31-15-210
aurora,default,C3_shuffled,2021,Environment,336,True,0.2690064013004303,0.3773995339870453,73.91797170403879,ip-172-31-15-210
aurora,default,C3_shuffled,2021,Health,48,True,1.8601981401443481,0.9625868797302246,9.583902131998911,ip-172-31-15-210
aurora,default,C3_shuffled,2021,Energy,12,True,0.11818411946296692,0.2532549500465393,10.119325053005014,ip-172-31-15-210
aurora,default,C3_shuffled,2021,Environment,96,True,0.28444087505340576,0.382000207901001,51.23014192900155,ip-172-31-15-210
aurora,default,C3_shuffled,2021,SocialGood,8,True,0.7987667322158813,0.49360978603363037,8.964644877007231,ip-172-31-15-210
aurora,default,C3_shuffled,2021,Agriculture,12,True,0.37880784273147583,0.40430283546447754,7.56644426099956,ip-172-31-15-210
aurora,default,C3_shuffled,2021,Health,12,True,1.0891112089157104,0.6669594049453735,9.987466689024586,ip-172-31-15-210
aurora,default,C3_shuffled,2021,Traffic,10,True,0.16292040050029755,0.28854745626449585,8.009647313971072,ip-172-31-15-210
aurora,default,C3_shuffled,2021,SocialGood,10,True,0.8848859667778015,0.5425446629524231,8.977324348001275,ip-172-31-15-210
aurora,default,C3_shuffled,2021,Economy,12,True,0.032438620924949646,0.14603178203105927,7.404712770017795,ip-172-31-15-210
aurora,default,C3_shuffled,2021,Health,24,True,1.567718744277954,0.8452744483947754,9.978387736016884,ip-172-31-15-210
aurora,default,C3_shuffled,2021,Traffic,8,True,0.15814624726772308,0.28572335839271545,7.7770507669774815,ip-172-31-15-210
aurora,default,C3_shuffled,2023,Climate,8,True,0.8646930456161499,0.7474216222763062,7.873584321001545,ip-172-31-15-210
aurora,default,C3_shuffled,2023,Economy,8,True,0.03290056064724922,0.14578470587730408,7.623904653999489,ip-172-31-15-210
aurora,default,C3_shuffled,2023,SocialGood,12,True,0.9570133090019226,0.5820636749267578,8.95137252600398,ip-172-31-15-210
aurora,default,C3_shuffled,2023,SocialGood,6,True,0.7026955485343933,0.4407375156879425,9.106374334020074,ip-172-31-15-210
aurora,default,C3_shuffled,2023,Energy,36,True,0.29120439291000366,0.4084586501121521,10.110408972017467,ip-172-31-15-210
aurora,default,C3_shuffled,2023,Health,36,True,1.6971694231033325,0.9207621216773987,9.894878571038134,ip-172-31-15-210
aurora,default,C3_shuffled,2023,Agriculture,10,True,0.315144419670105,0.3749537765979767,7.77280212903861,ip-172-31-15-210
aurora,default,C3_shuffled,2023,Climate,6,True,0.8635352253913879,0.7482223510742188,7.806943774048705,ip-172-31-15-210
aurora,default,C3_shuffled,2023,Economy,6,True,0.03537609800696373,0.15355126559734344,7.619972871034406,ip-172-31-15-210
aurora,default,C3_shuffled,2023,Environment,192,True,0.2703248858451843,0.37554892897605896,61.71449501794996,ip-172-31-15-210
aurora,default,C3_shuffled,2023,Agriculture,8,True,0.2389054298400879,0.3309134542942047,7.81354345503496,ip-172-31-15-210
aurora,default,C3_shuffled,2023,Security,12,True,77.72509002685547,4.2385945320129395,7.317357732972596,ip-172-31-15-210
aurora,default,C3_shuffled,2023,Security,8,True,70.94320678710938,4.0373640060424805,7.529044193972368,ip-172-31-15-210
aurora,default,C3_shuffled,2023,Energy,24,True,0.22684146463871002,0.3554137349128723,10.237453410052694,ip-172-31-15-210
aurora,default,C3_shuffled,2023,Climate,12,True,0.8727321624755859,0.7510502338409424,7.731069294037297,ip-172-31-15-210
aurora,default,C3_shuffled,2023,Climate,10,True,0.8639487028121948,0.7470337152481079,7.947870421980042,ip-172-31-15-210
aurora,default,C3_shuffled,2023,Traffic,12,True,0.16871513426303864,0.29492032527923584,7.857175957993604,ip-172-31-15-210
aurora,default,C3_shuffled,2023,Security,6,True,67.44441986083984,3.9028828144073486,7.533567228994798,ip-172-31-15-210
aurora,default,C3_shuffled,2023,Environment,48,True,0.28062349557876587,0.3799718916416168,45.18529234995367,ip-172-31-15-210
