condition,domain,gradnorm_mean,attn_entropy_rel_mean,attn_max_weight_mean,divergence_mean_sq
C1_original,Agriculture,0.23246200000000003,0.9664016666666667,0.17488866666666666,0.036672
C1_original,Climate,0.005216999999999999,0.9872486666666666,0.14278566666666667,0.024780999999999997
C1_original,Economy,0.6470346666666666,0.9657573333333334,0.17487033333333332,0.07281733333333333
C1_original,Energy,0.207653,0.9646793333333333,0.1710326666666667,0.027379666666666667
C1_original,Environment,0.008533666666666667,0.9827283333333333,0.15077433333333334,0.0052910000000000006
C1_original,Health,0.020669333333333335,0.9731996666666666,0.16296566666666668,0.02316333333333333
C1_original,Security,0.19982666666666668,0.9822096666666668,0.146933,0.09559200000000001
C1_original,SocialGood,0.029365333333333337,0.968568,0.16354966666666668,0.07903966666666666
C1_original,Traffic,0.014893666666666668,0.987707,0.14164966666666665,0.0014080000000000002
C2_empty,Agriculture,0.08351066666666666,0.96643,0.17484666666666668,0.020935333333333334
C2_empty,Climate,0.003191666666666667,0.9873133333333334,0.142666,0.024247666666666667
C2_empty,Economy,0.18479366666666666,0.9656923333333333,0.17446066666666668,0.05131133333333334
C2_empty,Energy,0.078362,0.9646033333333334,0.17079433333333335,0.061006666666666674
C2_empty,Environment,0.008246333333333333,0.9826673333333332,0.15097333333333332,0.005628333333333332
C2_empty,Health,0.03829833333333333,0.9730173333333333,0.16342166666666666,0.030466999999999998
C2_empty,Security,0.24626299999999998,0.9821610000000001,0.147056,0.05212466666666667
C2_empty,SocialGood,0.025992,0.9685063333333334,0.16364933333333334,0.11304199999999999
C2_empty,Traffic,0.0012716666666666666,0.9877343333333334,0.14123666666666668,0.0012376666666666666
C3_shuffled,Agriculture,0.124419,0.9663339999999999,0.17515666666666665,0.012587333333333334
C3_shuffled,Climate,0.012268666666666666,0.9873216666666668,0.14264200000000002,0.021766333333333332
C3_shuffled,Economy,0.8753856666666667,0.9661136666666668,0.174123,0.04205133333333333
C3_shuffled,Energy,0.057889,0.9646263333333334,0.170987,0.09054433333333334
C3_shuffled,Environment,0.005854000000000001,0.982736,0.15067966666666666,0.007284666666666666
C3_shuffled,Health,0.032795,0.973004,0.16333366666666665,0.026798000000000002
C3_shuffled,Security,0.255562,0.9821133333333334,0.14710133333333333,0.057508333333333335
C3_shuffled,SocialGood,0.027006333333333337,0.968476,0.16378666666666666,0.05868966666666667
C3_shuffled,Traffic,0.0023863333333333336,0.9876889999999999,0.141376,0.001193
C4_crossdomain,Agriculture,0.14653766666666665,0.9665593333333332,0.174808,0.016673666666666666
C4_crossdomain,Climate,0.0014126666666666669,0.9874533333333334,0.14222866666666667,0.02526666666666667
C4_crossdomain,Economy,0.137074,0.965526,0.17457266666666668,0.04500133333333334
C4_crossdomain,Energy,0.110981,0.964557,0.171629,0.034229
C4_crossdomain,Environment,0.012865666666666666,0.9827180000000001,0.15079766666666666,0.007506333333333334
C4_crossdomain,Health,0.033869666666666666,0.9732363333333334,0.16281166666666666,0.036775999999999996
C4_crossdomain,Security,0.17447899999999997,0.9822266666666666,0.14695233333333332,0.049495000000000004
C4_crossdomain,SocialGood,0.029896000000000002,0.9685216666666667,0.16393166666666667,0.09901900000000001
C4_crossdomain,Traffic,0.002008666666666667,0.9878450000000001,0.14091800000000002,0.001701
C5_constant,Agriculture,0.21171433333333334,0.9670796666666667,0.17423333333333332,0.04186833333333334
C5_constant,Climate,0.007456666666666667,0.9875940000000001,0.14195766666666668,0.026237
C5_constant,Economy,0.205004,0.9665940000000001,0.17349166666666668,0.05241733333333334
C5_constant,Energy,0.35315499999999994,0.9655123333333333,0.16993366666666665,0.041368999999999996
